acct_id,visit_num,visit_dt,clip_views,view_time_sec,total_clip_length_sec,total_course_lngth_sec,courses_viewed,b2b_visit_indicator,page_views,searches
"1,261",1,12/3/18,18,"2,373","2,563","173,376",1,0,6,5
"1,261",2,13/3/18,15,"2,453","2,765","115,584",1,0,1,5
"1,261",3,14/3/18,22,3296,"4,627","86,688",1,0,2,5
"1,261",4,15/3/18,45,"6,337","7,121","173,376",1,0,2,3
"1,261",5,16/3/18,27,"4,393","4,968","260,064",1,0,4,0
"1,261",6,17/3/18,19,"2,281","3,699","187,824",1,0,7,0
"1,261",7,18/3/18,6,1452,1452,"57,792",1,0,5,1
"1,261",8,19/3/18,34,"5,593","6,436","332,304",1,0,1,0
"1,261",9,20/3/18,42,"8,272","8,529","404,544",1,0,4,0
"1,261",10,17/4/18,12,"2,967","2,967","56,371",1,0,1,1
"1,261",11,18/4/18,32,"7,505","8,947","281,855",1,0,2,1
"1,261",12,19/4/18,7,"2,414","2,735","32,212",1,0,6,1
"1,261",13,26/4/18,16,"3,144","4,740","72,477",1,0,2,1
"1,261",14,29/4/18,7,1256,"2,028","32,212",1,0,5,1
"1,446",1,3/8/17,33,"8,994","8,994","785,074",2,0,7,7
"1,446",2,4/8/17,48,296,"13,183","1,215,656",1,0,1,5
"1,446",3,24/10/17,30,"6,791","7,556","77,480",1,0,1,5
"1,200",1,23/9/17,40,"6,784","6,798","234,981",1,0,2,6
"1,200",2,28/9/17,46,"9,318","9,338","267,171",2,0,4,6
"1,200",3,1/10/17,7,3052,3052,"42,204",1,0,2,3
"1,200",4,26/10/17,52,"11,842","12,045","312,984",1,0,1,5
"1,200",5,2/11/17,28,"3,225","3,453","164,008",1,0,4,0
"1,200",6,11/11/17,28,"9,796","9,822","320,476",3,0,8,0
"1,200",7,30/11/17,15,"3,006","3,514","124,090",1,0,2,1
"1,200",8,11/12/17,1,219,219,"4,312",1,0,8,0
"1,200",9,12/12/17,15,"3,648","3,648","43,120",1,0,4,0
"1,200",10,14/12/17,7,"2,465","2,465","17,248",1,0,2,1
"1,200",11,9/1/18,30,"6,229","9,528","179,997",5,0,8,4
"1,200",12,10/1/18,18,"3,444","3,449","114,890",1,0,2,1
"1,200",13,18/1/18,14,"2,668","2,668","80,408",3,0,7,1
"1,200",14,26/1/18,22,"2,690","2,741","144,660",1,0,3,1
"1,200",15,29/1/18,26,"3,746","3,973","210,194",3,0,8,2
"1,200",16,13/2/18,15,1779,1786,"89,888",2,0,3,0
"1,200",17,14/2/18,41,"4,555","6,021","227,128",1,0,1,0
"1,200",18,15/2/18,12,"3,422","3,422","72,268",1,0,4,0
"1,200",19,16/2/18,11,1811,1811,"61,944",1,0,3,0
"1,200",20,20/2/18,49,"10,176","10,203","268,424",1,0,5,0
"1,200",21,19/4/18,1,270,270,"5,059",1,0,2,0
"1,200",22,25/4/18,3,611,611,"20,987",2,0,5,0
"1,214",1,31/7/17,17,"4,842","5,315","135,099",1,1,2,4
"1,214",2,3/8/17,6,"1,891","1,891","54,775",2,1,3,5
"1,765",1,14/8/17,9,"2,762","2,812","231,324",2,1,4,5
"1,765",2,28/9/17,10,"1,275","1,303","56,976",1,1,1,6
"1,765",3,19/10/17,37,"8,601","9,138","470,340",1,1,4,6
"1,765",4,20/10/17,40,"9,897","10,412","250,848",1,1,1,1
"1,765",5,13/12/17,10,"2,406","2,520","74,584",2,1,8,10
"1,765",6,9/1/18,16,"2,122","2,573","242,208",1,1,4,0
"1,765",7,10/1/18,10,"1,864","1,908","151,380",1,1,2,0
"1,765",8,12/1/18,10,"2,513","2,546","151,380",1,1,2,0
"1,765",9,13/1/18,10,"2,756","2,756","151,380",1,1,1,0
"1,765",10,17/1/18,30,"6,071","6,107","679,656",2,1,12,2
"1,765",11,18/1/18,4,1075,1205,"37,528",1,1,3,1
"1,765",12,23/1/18,33,"7,519","7,606","333,765",2,1,7,4
"1,765",13,25/1/18,28,"6,793","7,215","310,854",3,1,9,4
"1,765",14,26/1/18,8,"3,319","3,329","113,751",2,1,3,1
"1,765",15,29/1/18,1,513,513,"16,695",1,1,2,1
"1,765",16,31/1/18,13,"4,382","4,538","183,645",1,1,2,0
"1,765",17,1/2/18,6,"2,838","3,105","83,475",1,1,3,0
"1,765",18,5/2/18,32,"11,646","13,037","432,513",2,1,14,2
"1,765",19,8/2/18,15,"4,433","4,470","200,340",1,1,1,0
"1,765",20,9/2/18,8,"1,868","1,878","95,025",1,1,4,0
"1,765",21,12/2/18,21,"2,734","2,736","230,775",1,1,5,0
"1,765",22,26/2/18,1,124,124,"6,225",1,1,1,0
"1,765",23,1/3/18,22,"8,713","10,337","162,990",1,1,2,0
"1,765",24,2/3/18,12,"4,152","4,641","90,550",1,1,3,0
"1,765",25,3/3/18,2,"1,429","1,429","18,110",1,1,1,0
"1,765",26,4/4/18,36,"9,548","10,572","628,796",1,1,1,0
"1,765",27,12/4/18,33,"7,591","9,645","583,882",1,1,1,0
"1,765",28,16/4/18,16,"6,639","6,639","291,941",1,1,7,0
"1,765",29,17/4/18,1,37,37,"22,457",1,1,6,0
"1,765",30,18/4/18,36,"9,197","9,423","509,204",2,1,7,1
"1,765",31,20/4/18,22,"3,740","3,762","155,873",1,1,2,0
"1,765",32,26/4/18,16,"4,053","4,281","119,197",1,1,5,0
"1,905",1,14/7/17,4,402,498,"25,896",1,0,8,4
"1,905",2,19/7/17,58,"9,978","10,775","387,450",2,0,12,7
"1,905",3,20/7/17,22,"3,768","6,153","102,584",2,0,6,4
"1,905",4,21/7/17,131,"9,052","30,491","1,171,309",3,0,8,4
"1,905",5,14/9/17,84,"12,588","16,353","504,700",5,0,9,6
"1,905",6,2/11/17,12,"3,064","3,910","86,552",1,0,3,1
"1,905",7,6/12/17,7,"2,818","2,818","31,125",1,0,2,0
"1,905",8,7/12/17,39,"7,372","7,888","169,094",2,0,7,6
"1,905",9,8/12/17,59,"11,462","11,832","1,088,809",2,0,10,10
"1,905",10,10/12/17,63,"10,269","12,702","1,275,327",1,0,3,1
"1,905",11,11/12/17,16,"2,969","3,572","166,347",1,0,5,1
"1,905",12,12/12/17,62,"11,099","11,523","804,640",3,0,6,4
"1,905",13,16/12/17,46,"4,235","18,890","550,423",7,0,13,4
"1,905",14,26/1/18,37,"7,331","7,471","320,200",1,0,1,1
"1,905",15,30/1/18,54,"12,703","14,278","755,803",7,0,10,4
"1,905",16,31/1/18,49,"13,220","14,150","788,449",5,0,13,4
"1,905",17,1/2/18,8,"3,906","3,906","75,610",1,0,1,0
"1,905",18,5/2/18,8,1610,"2,800","80,329",2,0,13,0
"1,905",19,6/2/18,27,"4,256","8,588","306,356",4,0,6,4
"1,905",20,8/2/18,1,65,65,"4,341",1,0,1,0
"1,905",21,9/2/18,59,"8,736","13,662","467,392",5,0,16,4
"1,905",22,19/2/18,57,"8,948","10,079","692,859",3,0,4,2
"1,905",23,27/2/18,20,"5,393","5,393","114,521",1,0,1,0
"1,905",24,28/2/18,140,"20,552","32,195","2,408,333",4,0,7,4
"1,905",25,1/3/18,15,"3,704","3,766","110,302",2,0,9,1
"1,905",26,2/3/18,19,"3,961","5,061","104,110",1,0,4,0
"1,905",27,6/3/18,67,"12,486","15,033","949,474",4,0,10,1
"1,905",28,7/3/18,9,"3,016","3,018","51,085",1,0,5,0
"1,905",29,8/3/18,19,"3,469","3,618","102,170",1,0,4,0
"1,905",30,16/3/18,49,"9,748","10,141","531,777",1,0,3,0
"1,905",31,19/3/18,13,"3,045","3,045","71,519",1,0,2,0
"1,905",32,1/5/18,27,"1,984","2,818","144,564",1,0,4,0
"2,070",1,12/7/17,12,"2,904","2,946","122,928",1,0,3,7
"2,070",2,15/7/17,22,"2,520","3,896","184,392",1,0,1,7
"2,070",3,17/7/17,15,3018,3018,"56,388",2,0,3,4
"2,070",4,18/7/17,45,"15,273","15,540","157,023",2,0,5,2
"2,070",5,20/7/17,36,"6,426","8,745","118,164",1,0,4,3
"2,070",6,25/7/17,18,"1,660","4,041","115,656",1,0,2,1
"2,070",7,9/10/17,1,130,130,"4,542",1,0,4,0
"2,070",8,25/10/17,21,"3,504","5,175","143,421",2,0,14,7
"2,070",9,7/11/17,3,90,262,"44,712",1,0,3,3
"2,070",10,8/11/17,23,"3,611","4,411","78,338",1,0,1,1
"2,070",11,18/11/17,14,"5,250","6,041","118,672",1,0,3,1
"2,070",12,19/11/17,3,959,959,"29,668",1,0,8,1
"2,070",13,20/11/17,39,"7,656","8,195","637,862",1,0,1,1
"2,070",14,21/11/17,33,"8,360","10,150","267,012",1,0,2,1
"2,070",15,22/11/17,33,"7,473","11,142","194,487",2,0,5,1
"2,070",16,23/11/17,30,"5,091","5,785","192,489",1,0,2,0
"2,070",17,24/11/17,3,593,593,"17,213",2,0,7,0
"2,070",18,25/11/17,42,"6,030","7,659","208,219",1,0,2,0
"2,070",19,27/11/17,18,"3,498","4,810","90,530",1,0,6,2
"2,070",20,30/11/17,12,1763,"2,159","94,528",1,0,1,0
"2,070",21,1/12/17,49,"9,682","16,129","384,354",2,0,12,0
"2,070",22,3/12/17,1,569,569,"9,053",1,0,1,0
"2,070",23,7/12/17,26,"4,015","5,331","132,523",2,0,6,4
"2,070",24,8/12/17,15,"2,666","2,858","72,424",1,0,4,0
"2,070",25,11/12/17,8,"2,498","2,498","104,190",1,0,3,0
"2,070",26,15/12/17,5,1371,1371,"62,514",1,0,2,0
"2,070",27,19/12/17,23,"5,105","5,139","120,421",2,0,4,0
"2,070",28,2/1/18,1,218,218,"9,053",1,0,1,0
"2,070",29,3/1/18,55,"9,038","13,906","598,171",7,0,15,2
"2,070",30,8/1/18,44,"10,745","13,620","246,594",5,0,10,2
"2,070",31,9/1/18,36,"8,207","8,908","236,436",1,0,5,0
"2,070",32,11/1/18,19,1773,"3,466","90,530",1,0,1,0
"2,070",33,12/1/18,30,"4,381","5,670","341,336",3,0,3,2
"2,070",34,13/1/18,1,245,245,"12,444",1,0,8,0
"2,070",35,14/1/18,46,"1,933","9,331","423,793",3,0,5,2
"2,070",36,16/1/18,42,"7,019","12,838","363,633",2,0,6,1
"2,070",37,22/1/18,9,993,1568,"34,457",2,0,5,0
"2,070",38,29/1/18,45,"4,060","10,292","468,906",2,0,10,1
"2,070",39,31/1/18,77,"3,048","15,674","788,346",5,0,12,2
"2,070",40,2/2/18,24,"5,073","7,352","97,920",1,0,2,0
"2,070",41,13/2/18,25,"5,064","6,778","129,337",4,0,7,1
"2,070",42,1/3/18,5,672,828,"19,086",1,0,3,0
"2,070",43,5/3/18,4,926,926,"20,434",1,0,1,0
"2,070",44,6/3/18,44,"6,581","10,085","224,774",1,0,6,0
"2,070",45,7/3/18,1,761,761,"10,217",1,0,5,0
"2,070",46,13/3/18,12,1101,1360,"49,944",3,0,9,2
"2,070",47,21/3/18,1,789,789,"9,053",1,0,3,0
"2,070",48,22/3/18,13,"4,587","6,247","63,371",1,0,1,0
"2,070",49,23/3/18,28,"4,612","5,528","258,030",4,0,11,2
"2,070",50,30/3/18,1,217,217,"15,372",1,0,1,0
"2,070",51,6/4/18,20,1976,"2,572","73,010",1,0,2,0
"2,070",52,9/4/18,60,"5,552","10,316","346,092",2,0,6,1
"2,070",53,10/4/18,8,499,1057,"29,204",1,0,1,0
"2,070",54,11/4/18,38,"7,725","8,703","160,892",1,0,1,0
"2,070",55,12/4/18,20,"3,764","4,138","102,170",1,0,2,0
"2,070",56,16/4/18,33,"4,926","6,809","163,472",1,0,1,0
"2,070",57,17/4/18,12,"3,612","4,784","61,302",1,0,4,0
"2,070",58,18/4/18,29,"3,813","6,810","143,038",1,0,6,0
"2,070",59,28/4/18,27,"4,443","4,732","273,039",2,0,11,1
"2,070",60,29/4/18,21,1244,"3,903","102,846",2,0,6,1
"1,678",1,1/7/17,43,"5,778","6,816","300,968",7,0,9,5
"1,678",2,5/7/17,39,"5,976","7,288","302,904",1,0,7,5
"1,678",3,6/7/17,15,"3,761","3,761","28,848",1,0,1,4
"1,678",4,7/7/17,58,"8,304","11,940","223,572",1,0,2,5
"1,678",5,11/7/17,90,"9,991","13,284","1,096,680",1,0,5,0
"1,678",6,12/7/17,25,"4,096","4,431","310,726",1,0,1,0
"1,678",7,13/7/17,43,"4,959","5,585","1,060,124",1,0,2,0
"1,678",8,14/7/17,39,"3,840","7,552","968,734",1,0,1,0
"1,678",9,22/7/17,21,"4,227","5,475","99,666",1,0,1,0
"1,678",10,23/7/17,34,"6,027","6,065","135,261",1,0,5,1
"1,678",11,25/7/17,8,1324,1372,"91,390",1,0,2,1
"1,678",12,1/8/17,27,"3,708","3,937","274,170",1,0,1,1
"1,678",13,13/8/17,1,395,395,"9,878",1,0,3,1
"1,678",14,3/9/17,4,1841,"1,911","30,177",1,0,1,1
"1,678",15,4/9/17,1,918,918,"10,059",1,0,1,1
"1,678",16,5/9/17,3,1560,1789,"20,118",1,0,3,0
"1,678",17,9/9/17,1,870,870,"10,059",1,0,6,0
"1,678",18,10/9/17,1,578,578,"10,059",1,0,5,0
"1,678",19,12/9/17,3,1430,1430,"20,118",1,0,1,0
"1,678",20,18/9/17,7,1105,"3,242","40,236",1,0,4,0
"1,678",21,4/10/17,27,"3,288","5,848","46,110",1,0,1,0
